," Ordered "," On-hand "," Item "," Vendor "," Qty ",
," :--- "," :--- "," :--- "," :--- "," :--- ",
,**Mechanical**,,,,,
,[ ],[ ],[NEMA 17 Motor 17HS4023](https://www.aliexpress.com/item/1005003874936862.html),AliExpress,2,
,[ ],[ ],[6804-2RS (20x32x7) Bearing](https://www.aliexpress.com/item/1005006415114490.html),AliExpress,1,
,[ ],[ ],[F604-ZZ (4x22x4) Bearing](https://www.aliexpress.com/item/1005006868220737.html),AliExpress,2,
,[ ],[ ],[165T 6mm Wide 2mm Pitch GT2 Timing Belt](https://www.aliexpress.com/item/1005005092316899.html),AliExpress,1,
,[ ],[ ],[85T 6mm Wide 2mm Pitch GT2 Timing Belt](https://www.aliexpress.com/item/1005007811742786.html),AliExpress,1,
,**3D Printed**,,,,,
,[ ],[ ],Main Plate,Home,1,
,[ ],[ ],Bottom Plate,Home,1,
,[ ],[ ],Tower,Home,2,
,[ ],[ ],Yoke,Home,1,
,[ ],[ ],Turret Endstop Connector,Home,1,
,[ ],[ ],Sweeper Endstop Connector,Home,1,
,[ ],[ ],Turret Jut,Home,1,
,[ ],[ ],Leg,Home,4,
,[ ],[ ],Yoke Right Spacer (11.8mm Long),Home,1,
,[ ],[ ],Yoke Left Spacer (0.6mm Long),Home,1,
,[ ],[ ],PCB Spacer (7.4mm Long),Home,3,
,[ ],[ ],144T Turret Pulley,Home,1,
,[ ],[ ],20T Turret Pinion,Home,1,
,[ ],[ ],45T Sweeper Pulley,Home,1,
,[ ],[ ],25T Sweeper Pinion,Home,1,
,**Fasteners**,,,,,
,[ ],[ ],M2x5 Hex Socket Cap Screw,Fastenal,2,
,[ ],[ ],M2 Hex Nut,Fastenal,2,
,[ ],[ ],M3x6 Hex Socket Cap Screw,Fastenal,5,
,[ ],[ ],M3x8 Hex Socket Cap Screw,Fastenal,10,
,[ ],[ ],M3x10 Hex Socket Cap Screw,Fastenal,23,
,[ ],[ ],M3x16 Hex Socket Cap Screw,Fastenal,3,
,[ ],[ ],M3 Hex Nut,Fastenal,35,
,[ ],[ ],M3D4x18 Hex Socket Cap Shoulder Bolt,Aliexpress,2,
,[ ],[ ],[M3 Kit](https://www.aliexpress.com/item/1005010634719167.html),Aliexpress,1,
,**Electronics**,,,,,
,[x],[ ],[Benewake TF-Luna 250Hz LIDAR Sensor](https://www.aliexpress.com/item/1005009516099639.html),AliExpress,1,
,[ ],[ ],[Optical Endstop](https://www.aliexpress.com/item/1005005231591120.html),AliExpress,2,
,[ ],[ ],[TMC2209 Stepper Driver](https://www.aliexpress.com/item/1005006323811276.html),AliExpress,2,
,[ ],[ ],[MP1584EN Devboard Buck Converter](https://www.aliexpress.com/item/1005007136976280.html),AliExpress,1,
,[x],[ ],[12 Wire 2A Slip Ring](https://www.aliexpress.com/item/1005007805413865.html),AliExpress,1,
,[ ],[ ],[USB C Decoy Board](https://www.aliexpress.com/item/1005005622939899.html),AliExpress,1,
,[x],[x],ESP32 DevKit-C,Home,1,
,[ ],[ ],PCB,JLCPCB,1,
, [ ] , [ ] , [35V 470μF Capacitor](https://www.aliexpress.com/item/1005006853348605.html) , Aliexpress , 2 ,
, [ ] , [ ] , [25V 10μF 1206 Capacitor](https://leeselectronic.com/en/product/81793-smd-capacitor-10uf-25v-1206.html) , Lee's Electronics , 1 ,
, [ ] , [ ] , [50V 100nF 1206 Capacitor](https://www.aliexpress.com/item/1005010653487250.html) , Aliexpress , 4 ,
, [ ] , [ ] , [1kΩ 1206 Resistor](https://leeselectronic.com/en/product/914154-resistors-smd-1k-5-1206-20pcs.html) , Lee's Electronics , 1 ,
, [ ] , [ ] , [15Vrwm 16.7Vbr 24.4VC  SMBJ15A TVS Diode](https://www.aliexpress.com/item/1005007161640002.html) , Aliexpress , 1 ,
,[ ],[ ],1x3 Pin JST-PH Male Header,School,4,
,[ ],[ ],1x4 Pin JST-PH Male Header,School,4,
,[ ],[ ],1x8 Pin JST-PH Male Header,School,3,
,[ ],[ ],1x3 Pin JST-PH Female Header,School,4,
,[ ],[ ],1x4 Pin JST-PH Female Header,School,4,
,[ ],[ ],1x8 Pin JST-PH Female Header,School,3,
,[ ],[ ],1x2 Pin 2.54mm Header,School,4,
,[ ],[ ],1x8 Pin 2.54mm Header,School,4,
,[ ],[ ],1x19 Pin 2.54mm Header,School,2,
,[ ],[ ],1x3 Pin JST-PH Female to 1x3 Pin JST-XH Female Cable,School,2,
,[ ],[ ],1x3 Pin JST-PH Female to 1x3 Pin JST-PH Female Cable,School,1,
,[ ],[ ],1x4 Pin JST-PH Female to 1x4 Pin JST-XH Female Cable,School,2,
,[ ],[ ],1x4 Pin JST-PH Female to 1x4 Pin JST-PH Female Cable,School,1,
,[ ],[ ],1x8 Pin JST-PH Female to 1x6 Pin JST-XH Female Cable,School,1,
,[ ],[ ],1x8 Pin JST-PH Female to 1x8 Pin JST-PH Female Cable,School,1,
,[ ],[ ],2m of 24-32 AWG Wire,School,1,
,---,---,---,---,---,
